,,,,,,,,,,,,,,dip_dir,,,,,corr_dir
11427bae3a42e0e34fc32798846c3dde, Locality 2, cd1e649b3d164c9539ebaa3835bb7b90,709870.5915,4366966.49,39.426698,-114.561752, 11S,2728.338867,5,3, Foreset ,182,40,272,11.654, Eg-arkose sst, Sat Oct 22 15:30:17 2022,,269.2
11427bae3a42e0e34fc32798846c3dde, Locality 2, 57713d9db9004ee1ef8a2ba6b345e102,709886.1487,4366962.884,39.426662,-114.561572, 11S,2721.478516,10,12, Foreset ,183,39,273,11.654, Eg-arkose sst, Sat Oct 22 15:27:47 2022,,90.1
11427bae3a42e0e34fc32798846c3dde, Locality 2, 8c70f5defdffdbbb52e96f68746b6db1,709892.765,4366961.475,39.426648,-114.561496, 11S,2718.368408,5,6, Foreset ,186,38,276,11.654, Eg-arkose sst, Sat Oct 22 15:28:53 2022,,92.5
11427bae3a42e0e34fc32798846c3dde, Locality 2, d567a1a5f38f63ba966708c6c558c304,709914.2609,4366972.433,39.426741,-114.561243, 11S,2723.104248,5,6, Foreset ,184,42,274,11.654, Eg-arkose sst, Sat Oct 22 15:26:24 2022,,270.4
11427bae3a42e0e34fc32798846c3dde, Locality 2, 3f0b76764736c44a90d696e3e200058b,709936.5701,4366961.338,39.426636,-114.560988, 11S,2709.785156,5,4, Foreset ,166,43,256,11.654, Eg-arkose sst, Sat Oct 22 15:25:06 2022,,257.1
11427bae3a42e0e34fc32798846c3dde, Locality 2, 85ed2ea200867b1528811155eb22637e,709967.3025,4366957.844,39.426597,-114.560632, 11S,2696.418945,5,4, Foreset ,196,20,286,11.654, Eg-arkose sst, Sat Oct 22 15:22:47 2022,,105.4
11427bae3a42e0e34fc32798846c3dde, Locality 2, 95a01837a1b8b54cc174c5d1e973971e,710004.3606,4366948.205,39.426501,-114.560205, 11S,2693.152588,30,32, Foreset ,167,45,257,11.654, Eg-Slaty saltire, Sat Oct 22 15:10:24 2022,,257.9
11427bae3a42e0e34fc32798846c3dde, Locality 2, bedc9c455b2535e18bb16f7a4c549b23,710005.272,4366963.89,39.426642,-114.560189, 11S,2687.066895,5,6, Foreset ,161,50,251,11.654, Eg-Slaty saltire, Sat Oct 22 15:09:04 2022,,254.1
11427bae3a42e0e34fc32798846c3dde, Locality 2, 897c872293e26eddf5108fefe12e0641,710061.7215,4366968.793,39.426673,-114.559532, 11S,2683.687012,5,8, Foreset ,166,31,256,11.654, Jenny Lind, Sat Oct 22 15:07:29 2022,,76.5
11427bae3a42e0e34fc32798846c3dde, Locality 2, d93f87e8811188a19bdaac288ca0a451,710112.5458,4367075.584,39.427622,-114.558909, 11S,2710.82251,10,16, Foreset ,172,30,262,11.654, Jenny Lind, Sat Oct 22 14:57:36 2022,,81.8
